episode,n_segments,total_len,mean_seg_len
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-02-08/Thu_Feb__8_16:38:30_2024/trajectory.h5,5,240,48.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-02-21/Wed_Feb_21_11:53:22_2024/trajectory.h5,4,193,48.25
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-12-07/Thu_Dec__7_12:02:57_2023/trajectory.h5,6,239,39.833333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-29/Mon_Jan_29_10:47:51_2024/trajectory.h5,14,667,47.642857142857146
gs://xembodiment_data/r2d2/r2d2-data-full/WEIRD/success/2023-12-16/Sat_Dec_16_02:09:13_2023/trajectory.h5,6,283,47.166666666666664
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-23/Tue_Jan_23_13:44:54_2024/trajectory.h5,5,150,30.0
gs://xembodiment_data/r2d2/r2d2-data-full/REAL/success/2023-08-15/Tue_Aug_15_14:44:19_2023/trajectory.h5,3,141,47.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-10-17/Tue_Oct_17_14:50:03_2023/trajectory.h5,7,286,40.857142857142854
gs://xembodiment_data/r2d2/r2d2-data-full/BVL/success/2024-01-31/Wed_Jan_31_15:32:43_2024/trajectory.h5,7,337,48.142857142857146
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-08-10/Thu_Aug_10_14:53:32_2023/trajectory.h5,5,181,36.2
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-01/Wed_Nov__1_10:21:17_2023/trajectory.h5,5,230,46.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-09-25/Mon_Sep_25_09:15:11_2023/trajectory.h5,5,191,38.2
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-31/Wed_Jan_31_16:54:41_2024/trajectory.h5,5,215,43.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-02/Tue_Jan__2_14:57:48_2024/trajectory.h5,5,178,35.6
gs://xembodiment_data/r2d2/r2d2-data-full/IRIS/success/2023-04-21/Fri_Apr_21_10:41:22_2023/trajectory.h5,4,253,63.25
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-10-16/Mon_Oct_16_12:01:30_2023/trajectory.h5,7,257,36.714285714285715
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-11-12/Sun_Nov_12_17:17:34_2023/trajectory.h5,35,1304,37.25714285714286
gs://xembodiment_data/r2d2/r2d2-data-full/CLVR/success/2023-06-25/Sun_Jun_25_18:29:39_2023/trajectory.h5,4,106,26.5
gs://xembodiment_data/r2d2/r2d2-data-full/RAD/success/2023-08-31/Thu_Aug_31_17:56:14_2023/trajectory.h5,16,678,42.375
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-12-18/Mon_Dec_18_21:17:40_2023/trajectory.h5,17,697,41.0
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-12-08/Fri_Dec__8_16:43:23_2023/trajectory.h5,16,747,46.6875
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-07-19/Wed_Jul_19_16:38:27_2023/trajectory.h5,16,547,34.1875
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-09-05/Tue_Sep__5_17:16:07_2023/trajectory.h5,8,321,40.125
gs://xembodiment_data/r2d2/r2d2-data-full/ILIAD/success/2023-08-19/Sat_Aug_19_12:12:54_2023/trajectory.h5,15,487,32.46666666666667
gs://xembodiment_data/r2d2/r2d2-data-full/AUTOLab/success/2023-11-16/Thu_Nov_16_16:33:03_2023/trajectory.h5,8,243,30.375
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-29/Mon_Jan_29_11:47:58_2024/trajectory.h5,4,239,59.75
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-10-20/Fri_Oct_20_18:13:33_2023/trajectory.h5,7,255,36.42857142857143
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-16/Thu_Nov_16_11:30:03_2023/trajectory.h5,5,240,48.0
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-06-05/Mon_Jun__5_19:22:04_2023/trajectory.h5,5,221,44.2
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-09-22/Fri_Sep_22_17:06:52_2023/trajectory.h5,11,435,39.54545454545455
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-09-22/Fri_Sep_22_20:51:43_2023/trajectory.h5,4,114,28.5
gs://xembodiment_data/r2d2/r2d2-data-full/IPRL/success/2023-07-01/Sat_Jul__1_15:44:38_2023/trajectory.h5,7,335,47.857142857142854
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-04-19/Wed_Apr_19_14:24:51_2023/trajectory.h5,4,143,35.75
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-11-08/Wed_Nov__8_15:31:03_2023/trajectory.h5,3,135,45.0
gs://xembodiment_data/r2d2/r2d2-data-full/RAIL/success/2023-07-14/Fri_Jul_14_13:01:11_2023/trajectory.h5,5,110,22.0
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2024-01-17/Wed_Jan_17_11:40:48_2024/trajectory.h5,6,191,31.833333333333332
gs://xembodiment_data/r2d2/r2d2-data-full/RPL/success/2023-06-05/Mon_Jun__5_18:48:57_2023/trajectory.h5,6,206,34.333333333333336
gs://xembodiment_data/r2d2/r2d2-data-full/WEIRD/success/2023-12-12/Tue_Dec_12_22:31:43_2023/trajectory.h5,7,293,41.857142857142854
gs://xembodiment_data/r2d2/r2d2-data-full/TRI/success/2023-10-16/Mon_Oct_16_11:55:26_2023/trajectory.h5,6,409,68.16666666666667
gs://xembodiment_data/r2d2/r2d2-data-full/PennPAL/success/2023-07-15/Sat_Jul_15_17:17:57_2023/trajectory.h5,12,374,31.166666666666668
gs://xembodiment_data/r2d2/r2d2-data-full/CLVR/success/2023-06-25/Sun_Jun_25_18:21:40_2023/trajectory.h5,3,118,39.333333333333336
